No,Date,O1,O2,O3,O4,O5,R1,R2,R3,R4,R5,B1,B2,和值,平均值,尾数和值 ,奇号个数,偶号个数,奇偶偏差,奇号连续,偶号连续,大号个数,小号个数,大小偏差,尾号组数,AC值,连号个数,连号组数,首尾差,最大间距,同位相同,重号个数,斜号个数
7001,2007/5/30,22,24,29,31,35,22,24,29,31,35,4,1,141,28.2,21,3,2,1,2,1,5,0,5,5,4,0,0,13,5,0,0,0
7002,2007/6/2,15,22,31,34,35,15,22,31,34,35,5,12,137,27.4,17,3,2,1,0,0,4,1,3,4,6,1,1,20,9,1,3,1
7003,2007/6/4,3,4,18,23,32,3,4,18,23,32,1,6,80,16,20,2,3,-1,0,1,3,2,1,4,5,1,1,29,14,0,0,2
7004,2007/6/6,6,10,16,17,25,6,10,16,17,25,2,4,74,14.8,24,2,3,-1,1,2,1,4,-3,4,6,1,1,19,8,0,0,1
7005,2007/6/9,1,9,19,20,30,1,9,19,20,30,2,11,79,15.8,19,3,2,1,2,1,3,2,1,3,4,1,1,29,10,0,0,1
7006,2007/6/11,1,16,20,23,28,1,16,20,23,28,3,6,88,17.6,18,2,3,-1,0,1,3,2,1,5,6,0,0,27,15,1,2,1
7007,2007/6/13,14,16,25,26,35,14,16,25,26,35,4,9,116,23.2,26,2,3,-1,0,1,3,2,1,3,4,1,1,21,9,1,1,0
7008,2007/6/16,2,8,11,21,23,2,8,11,21,23,4,7,65,13,15,3,2,1,2,1,2,3,-1,4,6,0,0,21,10,0,0,0
7009,2007/6/18,1,3,9,19,34,1,3,9,19,34,9,12,66,13.2,26,4,1,3,3,0,2,3,-1,4,6,0,0,33,15,0,0,3
7010,2007/6/20,6,8,18,29,34,6,8,18,29,34,9,11,95,19,35,1,4,-3,0,2,3,2,1,4,6,0,0,28,11,1,1,2
7011,2007/6/23,29,32,33,34,35,29,32,33,34,35,9,10,163,32.6,23,3,2,1,0,0,5,0,5,5,2,3,1,6,3,0,2,2
7012,2007/6/25,3,12,15,29,34,3,12,15,29,34,7,11,93,18.6,23,3,2,1,1,0,2,3,-1,5,6,0,0,31,14,0,2,1
7013,2007/6/27,12,17,27,29,34,12,17,27,29,34,6,9,119,23.8,29,3,2,1,2,0,3,2,1,4,4,0,0,22,10,2,3,0
7014,2007/6/30,1,2,7,29,32,1,2,7,29,32,6,7,71,14.2,21,3,2,1,1,0,2,3,-1,4,6,1,1,31,22,1,1,0
7015,2007/7/2,2,8,12,13,17,2,8,12,13,17,11,12,52,10.4,22,2,3,-1,1,2,0,5,-5,4,4,1,1,15,6,0,1,2
7016,2007/7/4,1,14,19,24,31,1,14,19,24,31,3,12,89,17.8,19,3,2,1,0,0,3,2,1,3,5,0,0,30,13,0,0,2
7017,2007/7/7,13,14,29,32,34,13,14,29,32,34,3,12,122,24.4,22,2,3,-1,0,1,3,2,1,4,6,1,1,21,15,1,1,2
7018,2007/7/9,3,4,16,23,28,3,4,16,23,28,6,9,74,14.8,24,2,3,-1,0,1,2,3,-1,4,5,1,1,25,12,0,0,1
7019,2007/7/11,3,6,17,22,23,3,6,17,22,23,4,6,71,14.2,21,3,2,1,0,0,2,3,-1,4,6,1,1,20,11,1,2,3
7020,2007/7/14,2,6,11,12,18,2,6,11,12,18,5,12,49,9.8,19,1,4,-3,0,2,1,4,-3,4,5,1,1,16,6,1,1,2
7021,2007/7/16,2,4,24,29,33,2,4,24,29,33,1,2,92,18.4,22,2,3,-1,1,2,3,2,1,4,6,0,0,31,20,1,1,0
7022,2007/7/18,8,10,12,23,25,8,10,12,23,25,3,10,78,15.6,18,2,3,-1,1,2,2,3,-1,5,2,0,0,17,11,0,0,2
7023,2007/7/21,8,10,23,32,34,8,10,23,32,34,8,10,107,21.4,17,1,4,-3,0,2,3,2,1,5,4,0,0,26,13,2,3,0
7024,2007/7/23,6,16,20,25,31,6,16,20,25,31,4,9,98,19.6,18,2,3,-1,1,2,3,2,1,4,6,0,0,25,10,0,0,1
7025,2007/7/25,22,24,26,27,34,22,24,26,27,34,2,10,133,26.6,23,1,4,-3,0,2,5,0,5,4,5,1,1,12,7,0,0,2
7026,2007/7/28,5,9,13,33,35,5,9,13,33,35,1,8,95,19,25,5,0,5,4,0,2,3,-1,3,5,0,0,30,20,0,0,2
7027,2007/7/30,2,3,10,19,27,2,3,10,19,27,6,10,61,12.2,21,3,2,1,1,0,2,3,-1,5,4,1,1,25,9,0,0,1
7028,2007/8/1,20,26,30,34,35,20,26,30,34,35,3,10,145,29,15,1,4,-3,0,3,5,0,5,4,5,1,1,15,6,0,0,2
7029,2007/8/4,15,22,25,29,35,15,22,25,29,35,9,11,126,25.2,26,4,1,3,2,0,4,1,3,3,4,0,0,20,7,1,1,3
7030,2007/8/6,11,14,27,33,35,11,14,27,33,35,2,7,120,24,20,4,1,3,2,0,3,2,1,5,6,0,0,24,13,1,1,1
7031,2007/8/8,3,21,27,31,32,3,21,27,31,32,6,8,114,22.8,14,4,1,3,3,0,4,1,3,4,6,1,1,29,18,1,1,1
7032,2007/8/11,1,13,21,23,32,1,13,21,23,32,4,11,90,18,10,4,1,3,3,0,3,2,1,3,6,0,0,31,12,1,2,1
7033,2007/8/13,1,5,8,14,22,1,5,8,14,22,3,12,50,10,20,2,3,-1,1,2,1,4,-3,5,6,0,0,21,8,1,1,2
7034,2007/8/15,6,8,11,13,22,6,8,11,13,22,2,11,60,12,20,2,3,-1,1,1,1,4,-3,5,4,0,0,16,9,1,2,2
7035,2007/8/18,7,11,16,31,32,7,11,16,31,32,1,12,97,19.4,17,3,2,1,1,0,2,3,-1,4,6,1,1,25,15,0,1,1
7036,2007/8/20,15,18,21,27,34,15,18,21,27,34,1,2,115,23,25,3,2,1,1,0,4,1,3,5,4,0,0,19,7,0,0,1
7037,2007/8/22,1,6,7,17,31,1,6,7,17,31,11,12,62,12.4,22,4,1,3,2,0,1,4,-3,3,6,1,1,30,14,0,0,1
7038,2007/8/25,6,21,25,27,32,6,21,25,27,32,8,9,111,22.2,21,3,2,1,2,0,4,1,3,5,6,0,0,26,15,0,1,2
7039,2007/8/27,10,11,20,21,35,10,11,20,21,35,7,11,97,19.4,7,3,2,1,1,0,3,2,1,3,4,2,2,25,14,0,1,1
7040,2007/8/29,5,21,25,28,35,5,21,25,28,35,1,4,114,22.8,24,4,1,3,2,0,4,1,3,3,5,0,0,30,16,1,2,1
7041,2007/9/1,3,16,17,22,35,3,16,17,22,35,1,8,93,18.6,23,3,2,1,0,0,2,3,-1,5,4,1,1,32,13,1,1,1
7042,2007/9/3,7,10,22,31,35,7,10,22,31,35,5,6,105,21,15,3,2,1,1,1,3,2,1,5,6,0,0,28,12,1,2,0
7043,2007/9/5,4,9,22,24,31,4,9,22,24,31,2,6,90,18,20,2,3,-1,0,1,3,2,1,4,6,0,0,27,13,1,2,1
7044,2007/9/8,4,5,7,12,26,4,5,7,12,26,1,10,54,10.8,24,2,3,-1,1,1,1,4,-3,5,6,1,1,22,14,1,1,1
7045,2007/9/10,9,16,20,26,35,9,16,20,26,35,11,12,106,21.2,26,2,3,-1,0,2,3,2,1,4,6,0,0,26,9,0,1,0
7046,2007/9/12,4,16,18,23,30,4,16,18,23,30,1,10,91,18.2,21,1,4,-3,0,2,3,2,1,5,3,0,0,26,12,1,1,0
7047,2007/9/15,1,6,15,19,35,1,6,15,19,35,2,9,76,15.2,26,4,1,3,2,0,2,3,-1,4,6,0,0,34,16,0,0,2
7048,2007/9/17,8,25,26,29,35,8,25,26,29,35,6,8,123,24.6,33,3,2,1,1,0,4,1,3,4,6,1,1,27,17,1,1,0
7049,2007/9/19,9,10,15,17,32,9,10,15,17,32,4,6,83,16.6,23,3,2,1,1,0,1,4,-3,5,6,1,1,23,15,0,0,1
7050,2007/9/22,13,21,22,30,35,13,21,22,30,35,1,11,121,24.2,11,3,2,1,1,1,4,1,3,5,4,1,1,22,8,0,0,0
7051,2007/9/24,3,7,24,28,35,3,7,24,28,35,8,11,97,19.4,27,3,2,1,1,1,3,2,1,5,4,0,0,32,17,1,1,0
7052,2007/9/26,1,14,29,32,33,1,14,29,32,33,5,10,109,21.8,19,3,2,1,0,0,3,2,1,5,6,1,1,32,15,0,0,1
7053,2007/9/29,11,16,19,21,25,11,16,19,21,25,1,10,92,18.4,22,4,1,3,2,0,3,2,1,4,5,0,0,14,5,0,0,0
7054,2007/10/1,4,10,19,29,34,4,10,19,29,34,3,6,96,19.2,26,2,3,-1,1,1,3,2,1,3,5,0,0,30,10,1,1,1
7055,2007/10/3,10,16,24,31,33,10,16,24,31,33,7,10,114,22.8,14,2,3,-1,1,2,3,2,1,5,6,0,0,23,8,0,1,1
7056,2007/10/6,4,11,17,20,21,4,11,17,20,21,5,9,73,14.6,13,3,2,1,1,0,2,3,-1,4,6,1,1,17,7,0,0,2
7057,2007/10/8,14,16,30,32,35,14,16,30,32,35,6,7,127,25.4,17,1,4,-3,0,3,3,2,1,5,4,0,0,21,14,0,0,1
7058,2007/10/10,8,21,25,28,33,8,21,25,28,33,2,6,115,23,25,3,2,1,1,0,4,1,3,4,6,0,0,25,13,0,0,1
7059,2007/10/13,4,15,23,31,33,4,15,23,31,33,3,9,106,21.2,16,4,1,3,3,0,3,2,1,4,5,0,0,29,11,1,1,0
7060,2007/10/15,12,13,29,30,31,12,13,29,30,31,4,7,115,23,15,3,2,1,1,0,3,2,1,5,2,3,2,19,16,0,1,1
7061,2007/10/17,2,10,19,28,29,2,10,19,28,29,2,9,88,17.6,28,2,3,-1,0,1,3,2,1,4,5,1,1,27,9,0,1,2
7062,2007/10/20,1,4,10,14,29,1,4,10,14,29,11,12,58,11.6,18,2,3,-1,0,2,1,4,-3,4,6,0,0,28,15,1,2,2
7063,2007/10/22,10,31,33,34,35,10,31,33,34,35,7,12,143,28.6,13,3,2,1,1,0,4,1,3,5,4,2,1,25,21,0,1,0
7064,2007/10/24,2,16,32,33,35,2,16,32,33,35,5,10,118,23.6,18,2,3,-1,1,2,3,2,1,4,6,1,1,33,16,1,2,3
7065,2007/10/27,19,20,24,29,31,19,20,24,29,31,9,10,123,24.6,23,3,2,1,1,1,5,0,5,4,5,1,1,12,5,0,0,1
7066,2007/10/29,4,7,8,19,24,4,7,8,19,24,7,12,62,12.4,32,2,3,-1,0,0,2,3,-1,4,6,1,1,20,11,0,2,1
7067,2007/10/31,11,18,25,30,31,11,18,25,30,31,4,9,115,23,15,3,2,1,0,0,4,1,3,4,5,1,1,20,7,0,0,2
7068,2007/11/3,4,9,13,14,33,4,9,13,14,33,6,10,73,14.6,23,3,2,1,1,0,1,4,-3,3,5,1,1,29,19,0,0,0
7069,2007/11/5,2,13,16,21,35,2,13,16,21,35,1,5,87,17.4,17,3,2,1,1,0,2,3,-1,5,4,0,0,33,14,0,1,1
7070,2007/11/7,7,26,29,30,35,7,26,29,30,35,3,4,127,25.4,27,3,2,1,0,0,4,1,3,5,6,1,1,28,19,1,1,0
7071,2007/11/10,10,22,32,33,35,10,22,32,33,35,1,7,132,26.4,12,2,3,-1,1,2,4,1,3,4,6,1,1,25,12,1,1,0
7072,2007/11/12,21,24,26,27,33,21,24,26,27,33,1,5,131,26.2,21,3,2,1,1,1,5,0,5,5,4,1,1,12,6,0,1,2
7073,2007/11/14,4,5,9,12,23,4,5,9,12,23,2,11,53,10.6,23,3,2,1,1,0,1,4,-3,5,6,1,1,19,11,0,0,1
7074,2007/11/17,16,17,23,24,31,16,17,23,24,31,5,10,111,22.2,21,3,2,1,1,0,3,2,1,5,2,2,2,15,7,0,1,1
7075,2007/11/19,5,11,20,30,32,5,11,20,30,32,7,11,98,19.6,8,2,3,-1,1,2,3,2,1,4,6,0,0,27,10,0,0,2
7076,2007/11/21,2,9,12,15,31,2,9,12,15,31,9,10,69,13.8,19,3,2,1,1,0,1,4,-3,4,5,0,0,29,16,0,0,2
7077,2007/11/24,4,6,12,13,24,4,6,12,13,24,1,4,59,11.8,19,1,4,-3,0,2,1,4,-3,4,6,1,1,20,11,1,1,1
7078,2007/11/26,9,12,14,22,23,9,12,14,22,23,1,2,80,16,20,2,3,-1,0,2,2,3,-1,4,6,1,1,14,8,0,1,3
7079,2007/11/28,6,9,25,26,31,6,9,25,26,31,2,8,97,19.4,27,3,2,1,1,0,3,2,1,4,6,1,1,25,16,0,1,0
7080,2007/12/1,1,15,20,25,27,1,15,20,25,27,5,10,88,17.6,18,4,1,3,2,0,3,2,1,4,5,0,0,26,14,0,1,2
7081,2007/12/3,6,18,20,22,35,6,18,20,22,35,4,9,101,20.2,21,1,4,-3,0,3,4,1,3,5,5,0,0,29,13,1,1,0
7082,2007/12/5,3,5,14,33,34,3,5,14,33,34,7,8,89,17.8,19,3,2,1,1,0,2,3,-1,3,6,1,1,31,19,0,0,2
7083,2007/12/8,1,5,20,21,24,1,5,20,21,24,3,4,71,14.2,11,3,2,1,1,0,3,2,1,4,4,1,1,23,15,1,1,0
7084,2007/12/10,5,11,18,29,34,5,11,18,29,34,10,11,97,19.4,27,3,2,1,1,0,3,2,1,5,6,0,0,29,11,0,1,0
7085,2007/12/12,17,24,28,29,33,17,24,28,29,33,2,5,131,26.2,31,3,2,1,1,1,4,1,3,5,4,1,1,16,7,1,1,3
7086,2007/12/15,14,18,19,26,28,14,18,19,26,28,3,9,105,21,35,1,4,-3,0,2,4,1,3,4,6,1,1,14,7,0,1,2
7087,2007/12/17,8,18,30,31,33,8,18,30,31,33,4,9,120,24,20,2,3,-1,1,2,4,1,3,4,6,1,1,25,12,1,1,1
7088,2007/12/19,17,18,21,23,33,17,18,21,23,33,6,10,112,22.4,22,4,1,3,2,0,4,1,3,4,6,1,1,16,10,2,2,1
7089,2007/12/22,8,13,24,30,34,8,13,24,30,34,1,12,109,21.8,19,1,4,-3,0,2,3,2,1,4,6,0,0,26,11,0,0,2
7090,2007/12/24,4,20,24,31,33,4,20,24,31,33,9,12,112,22.4,12,2,3,-1,1,2,4,1,3,4,6,0,0,29,16,1,1,2
7091,2007/12/26,7,12,26,31,32,7,12,26,31,32,3,8,108,21.6,18,2,3,-1,0,1,3,2,1,4,4,1,1,25,14,1,1,1
7092,2007/12/29,6,19,27,28,29,6,19,27,28,29,6,10,109,21.8,39,3,2,1,1,0,4,1,3,4,5,2,1,23,13,0,0,2
7093,2007/12/31,6,8,16,25,27,6,8,16,25,27,8,12,82,16.4,32,2,3,-1,1,2,2,3,-1,4,4,0,0,21,9,1,2,1
8001,2008/1/2,1,2,11,34,35,1,2,11,34,35,3,10,83,16.6,13,3,2,1,0,0,2,3,-1,4,4,2,2,34,23,0,0,0
