No,Date,O1,O2,O3,O4,O5,O6,R1,R2,R3,R4,R5,R6,B1,和值,平均值,尾数和值,奇号个数,偶号个数,奇偶偏差,奇号连续,偶号连续,大号个数,小号个数,大小偏差,尾号组数,AC值,连号个数,连号组数,首尾差,最大间距,同位相同,重号个数,斜号个数
25049,2025/5/4,33,6,19,29,3,27,3,6,19,27,29,33,11,117,19.5,37,5,1,4,3,0,4,2,2,4,10,0,0,30,13,0,1,0
25048,2025/5/1,21,27,22,31,16,23,16,21,22,23,27,31,10,140,23.33,20,4,2,2,2,0,5,1,4,5,6,2,1,15,5,1,4,3
25047,2025/4/29,14,22,31,23,1,21,1,14,21,22,23,31,12,112,18.67,12,4,2,2,1,0,4,2,2,4,7,2,1,30,13,0,0,1
25046,2025/4/27,33,2,3,16,29,10,2,3,10,16,29,33,1,93,15.5,23,3,3,0,1,1,2,4,-2,5,9,1,1,31,13,3,3,1
25045,2025/4/24,14,33,19,29,24,2,2,14,19,24,29,33,13,121,20.17,31,3,3,0,1,1,4,2,2,4,7,0,0,31,12,1,2,2
25044,2025/4/22,3,14,28,8,7,2,2,3,7,8,14,28,11,62,10.33,32,2,4,-2,1,2,1,5,-4,5,7,2,2,26,14,0,1,1
25043,2025/4/20,3,19,16,32,20,12,3,12,16,19,20,32,13,102,17,22,2,4,-2,0,2,3,3,0,5,7,1,1,29,12,0,1,3
25042,2025/4/17,7,33,13,19,27,23,7,13,19,23,27,33,12,122,20.33,32,6,0,6,5,0,4,2,2,3,4,0,0,26,6,0,1,1
25041,2025/4/15,6,31,25,10,19,17,6,10,17,19,25,31,6,108,18,28,4,2,2,3,1,4,2,2,6,9,0,0,25,7,0,2,2
25040,2025/4/13,10,24,9,8,6,2,2,6,8,9,10,24,11,59,9.83,29,1,5,-4,0,3,1,5,-4,6,7,2,1,22,14,0,2,2
25039,2025/4/10,10,17,8,12,23,15,8,10,12,15,17,23,11,85,14.17,25,3,3,0,2,2,2,4,-2,6,6,0,0,15,6,0,1,0
25038,2025/4/8,26,20,6,33,23,19,6,19,20,23,26,33,9,127,21.17,27,3,3,0,0,0,5,1,4,4,6,1,1,27,13,0,2,2
25037,2025/4/6,31,20,21,11,3,6,3,6,11,20,21,31,2,92,15.33,12,4,2,2,1,0,3,3,0,4,9,1,1,28,10,0,1,3
25036,2025/4/3,5,13,19,32,11,16,5,11,13,16,19,32,7,96,16,26,4,2,2,2,0,2,4,-2,6,7,0,0,27,13,0,1,2
25035,2025/4/1,16,1,25,18,31,8,1,8,16,18,25,31,1,75,12.5,25,3,3,0,1,1,3,3,0,5,10,1,1,21,9,0,0,0
25034,2025/3/30,26,24,13,8,14,5,5,8,13,14,24,26,12,90,15,30,2,4,-2,0,2,2,4,-2,5,10,1,1,21,10,0,2,2
25033,2025/3/27,33,25,3,18,26,5,3,5,18,25,26,33,8,110,18.33,30,4,2,2,1,0,4,2,2,4,7,1,1,30,13,1,1,0
25032,2025/3/25,3,21,14,16,10,8,3,8,10,14,16,21,3,72,12,22,2,4,-2,0,3,1,5,-4,6,4,0,0,18,5,0,1,0
25031,2025/3/23,23,1,6,5,28,8,1,5,6,8,23,28,1,71,11.83,31,3,3,0,1,1,2,4,-2,5,8,1,1,27,15,0,1,3
25030,2025/3/20,6,7,30,31,4,33,4,6,7,30,31,33,6,111,18.5,21,3,3,0,1,1,3,3,0,6,4,2,2,29,23,1,2,3
25029,2025/3/18,15,30,5,33,25,16,5,15,16,25,30,33,16,124,20.67,24,4,2,2,1,0,3,3,0,4,9,1,1,28,10,0,2,3
25028,2025/3/16,18,15,4,14,9,25,4,9,14,15,18,25,15,85,14.17,35,3,3,0,0,0,2,4,-2,4,7,1,1,21,7,1,1,4
25027,2025/3/13,16,8,23,5,7,15,5,7,8,15,16,23,6,74,12.33,34,4,2,2,1,0,1,5,-4,5,6,2,2,18,7,0,0,2
25026,2025/3/11,19,9,14,12,32,10,9,10,12,14,19,32,7,96,16,26,2,4,-2,0,2,2,4,-2,4,8,1,1,23,13,0,1,1
25025,2025/3/9,30,25,23,12,21,15,12,15,21,23,25,30,2,126,21,16,4,2,2,3,0,4,2,2,5,8,0,0,18,6,0,1,3
25024,2025/3/6,22,32,10,11,30,27,10,11,22,27,30,32,15,132,22,12,2,4,-2,0,1,4,2,2,4,9,1,1,22,11,0,0,3
25023,2025/3/4,33,24,12,13,9,25,9,12,13,24,25,33,7,116,19.33,26,4,2,2,1,0,3,3,0,5,8,2,2,24,11,0,0,1
25022,2025/3/2,28,20,30,11,17,18,11,17,18,20,28,30,10,124,20.67,24,2,4,-2,1,3,5,1,4,4,8,1,1,19,8,0,1,1
25021,2025/2/27,32,25,18,16,7,8,7,8,16,18,25,32,14,106,17.67,36,2,4,-2,0,2,3,3,0,5,8,1,1,25,8,0,1,1
25020,2025/2/25,11,4,30,16,26,13,4,11,13,16,26,30,15,100,16.67,20,2,4,-2,1,2,2,4,-2,5,10,0,0,26,10,0,1,2
25019,2025/2/23,18,22,5,13,23,17,5,13,17,18,22,23,11,98,16.33,28,4,2,2,2,1,4,2,2,5,6,2,2,18,8,0,1,2
25018,2025/2/20,21,29,3,18,9,28,3,9,18,21,28,29,11,108,18,38,4,2,2,1,0,4,2,2,4,10,1,1,26,9,2,3,3
25017,2025/2/18,15,28,29,12,4,18,4,12,15,18,28,29,5,106,17.67,36,2,4,-2,0,2,3,3,0,5,7,1,1,25,10,1,2,3
25016,2025/2/16,2,29,20,12,3,16,2,3,12,16,20,29,14,82,13.67,22,2,4,-2,0,2,2,4,-2,5,6,1,1,27,9,0,0,3
25015,2025/2/13,33,4,11,24,25,15,4,11,15,24,25,33,15,112,18.67,22,4,2,2,2,0,3,3,0,4,9,1,1,29,9,0,0,0
25014,2025/2/11,21,13,6,9,27,7,6,7,9,13,21,27,5,83,13.83,33,5,1,4,4,0,2,4,-2,5,8,1,1,21,8,0,0,1
25013,2025/2/9,30,23,4,16,14,24,4,14,16,23,24,30,14,111,18.5,21,1,5,-4,0,3,3,3,0,4,8,1,1,26,10,0,0,2
25012,2025/2/6,11,31,18,7,27,13,7,11,13,18,27,31,11,107,17.83,27,5,1,4,3,0,3,3,0,4,8,0,0,24,9,0,1,2
25011,2025/1/26,17,22,29,24,6,13,6,13,17,22,24,29,11,111,18.5,31,3,3,0,1,1,4,2,2,6,5,0,0,23,7,0,2,3
25010,2025/1/23,17,16,7,6,4,21,4,6,7,16,17,21,8,71,11.83,31,3,3,0,1,1,2,4,-2,4,8,2,2,17,9,0,1,0
25009,2025/1/21,12,11,4,23,25,2,2,4,11,12,23,25,6,77,12.83,17,3,3,0,1,1,2,4,-2,5,8,1,1,23,11,0,1,0
25008,2025/1/19,17,33,14,9,16,25,9,14,16,17,25,33,11,114,19,34,4,2,2,2,1,3,3,0,6,7,1,1,24,8,0,1,2
